,tractid,nta_name,totpop00,pop24_00,NHW00,A20_34y00,colleg00,mdfami00,mdrent00,Unnamed: 9,totpop16,pop24_16,NHW16,A20_34y16,College16,mdfami16,mdrent16,Unnamed: 17,NHW00_16,A20_34y00_16,College00_16,mdfami00_16,mdrent00_16,Unnamed: 23,scores_raw,score_0.025,score_0.5,score_0.975,Unnamed: 28,medprice04,medpr_unit04,medpr_sf04,medprice15,medpr_unit15,medpr_sf15,medpr_sf15_IA,sales04,sales15,Status_NYC
0,36005000200,Soundview-Castle Hill-Clason Point-Harding Park,3505,2059,136.0,709,171.0,50817,730,,5251,3494,93,1155,615,75165,1237,,-0.543553329,0.087381032,1.119,0.479130999,0.694520548,,-0.012303266,-1.288060938,-0.139751007,0.990197036,,311000.0,172000.0,142.15,337500.0,182083.3335,172.825,135.0,231.0,110.0,Low to Low
1,36005000400,Soundview-Castle Hill-Clason Point-Harding Park,3354,1979,186.0,702,234.0,41019,643,,5980,4136,243,1308,972,81163,1390,,-0.267251052,0.045039019,0.988,0.978668422,1.161741835,,1.118075857,-0.685202893,0.337358707,1.375168913,,319000.0,166803.0,158.74,450000.0,228750.0,210.0,164.0,194.0,101.0,Low to Low
2,36005001600,Soundview-Castle Hill-Clason Point-Harding Park,5208,3157,294.0,1232,351.0,30104,558,,6056,3653,142,1143,358,36701,945,,-0.584638611,-0.202151135,-0.119,0.219140314,0.693548387,,-1.90884313,-1.896047862,-0.977492589,-0.060854317,,345393.0,172696.5,129.705,340000.0,175000.0,173.33,135.0,76.0,27.0,Low to Low
3,36005001900,Mott Haven-Port Morris,1613,961,80.0,239,37.0,23671,461,,2682,1805,195,837,370,39010,1134,,0.465953579,1.10621718,4.324,0.648008111,1.459869848,,3.69811807,0.763317047,1.640029899,2.523888675,,262650.0,123666.67,103.0,363000.0,136666.667,173.61,136.0,53.0,25.0,Low to Low
4,36005002000,Soundview-Castle Hill-Clason Point-Harding Park,9101,4894,116.0,1799,302.0,19694,266,,9131,5477,128,1932,597,20789,610,,0.099822885,0.070401552,0.766,0.055600691,1.293233083,,0.308494131,-1.295466296,-0.302502128,0.729423927,,330000.0,154500.0,126.79,390000.0,175000.0,148.15,116.0,83.0,37.0,Low to Low
5,36005002300,Mott Haven-Port Morris,4305,2430,41.0,827,152.0,20217,229,,4824,2692,10,1142,140,20885,417,,-0.782338308,0.232328382,-0.169,0.0330415,0.820960699,,-1.706307003,-1.20508191,-0.122568084,0.960107802,,,,,,,,,,,
6,36005002500,Mott Haven-Port Morris,5109,2728,19.0,1212,90.0,15662,340,,5651,3295,91,1332,313,24939,692,,3.330104593,-0.006398587,1.879,0.592325374,1.035294118,,1.78036507,0.387585329,1.41861982,2.436340477,,310000.0,115000.0,86.08,450000.0,427500.0,185.085,144.5,12.0,6.0,Low to Low
7,36005002701,Mott Haven-Port Morris,3033,1533,35.0,595,161.0,13077,264,,3034,1529,25,589,159,22759,447,,-0.285949713,-0.010410308,-0.01,0.74038388,0.693181818,,-0.637407894,-0.549493928,0.533968111,1.622549826,,539000.0,30207.685,57.21,,,,,2.0,,
8,36005002702,Mott Haven-Port Morris,4736,2249,8.0,1114,77.0,12042,332,,4684,2429,45,1205,187,23403,963,,4.687446627,0.0936961,1.249,0.943447932,1.90060241,,2.920196856,0.928143196,1.906217911,2.89242974,,368000.0,184000.0,167.455,465000.0,189565.217,182.5,143.0,6.0,7.0,Low to Low
9,36005002800,Soundview-Castle Hill-Clason Point-Harding Park,5718,3720,49.0,1121,522.0,38448,586,,5350,3975,38,1191,791,51109,937,,-0.17114629,0.135524523,0.418,0.329301914,0.598976109,,-0.502015961,-0.997689314,0.011926036,1.026399838,,287000.0,143500.0,171.46,240000.0,170000.0,129.04,101.0,10.0,7.0,Low to Low
10,36005003100,Mott Haven-Port Morris,1504,862,112.0,351,110.0,28365,616,,1744,1019,14,409,105,53229,1025,,-0.892201835,0.004887739,-0.193,0.876573242,0.663961039,,-1.58442128,-1.146477599,-0.171870514,0.787893835,,283500.0,68162.79,72.02,775000.0,450000.0,266.67,208.0,6.0,5.0,Low to Low
11,36005003300,Mott Haven-Port Morris,3090,1490,11.0,653,50.0,11420,277,,3855,2038,45,772,159,20568,626,,2.279094446,-0.052371277,1.325,0.801050788,1.259927798,,1.777648007,0.364969742,1.312499671,2.290432777,,270750.0,118916.665,139.435,420000.0,173150.133,174.47,136.0,18.0,13.0,Low to Low
12,36005003500,Mott Haven-Port Morris,3448,1805,64.0,723,150.0,20122,417,,3935,2343,15,1003,246,31826,880,,-0.794631512,0.215584507,0.263,0.581651923,1.110311751,,-0.186109469,-0.908483216,0.147017016,1.195614783,,267500.0,85178.57,79.86,355000.0,97692.3075,128.19,100.5,22.0,10.0,Low to Low
13,36005003800,Soundview-Castle Hill-Clason Point-Harding Park,1328,697,77.0,281,56.0,53705,711,,1246,835,14,368,81,33750,911,,-0.806216256,0.395794657,0.207,-0.371566893,0.281293952,,-2.765208434,-2.696669025,-1.640980731,-0.562601412,,351000.0,146000.0,142.27,394500.0,172500.0,150.16,117.5,35.0,20.0,Low to Low
